name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"REVAXO Waterproof & Dustproof Washing Machine Cover Top Load & Fully Automatic Suitable for 6 kg, 6.2 kg, 6.5 kg ,3",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61bXlw15i+L._AC_UL320_.jpg,https://www.amazon.in/Waterproof-Dustproof-Washing-Automatic-Suitable/dp/B0BN5K51KY/ref=sr_1_9520?qid=1679136123&s=appliances&sr=1-9520,1.0,1,₹230,₹999
Khaitan Freedom Hi-Speed Economy Ceiling Fan-Brown,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51W3o-R8xtL._AC_UL320_.jpg,https://www.amazon.in/Khaitan-Freedom-Hi-Speed-Economy-Fan-Brown/dp/B0BR3JXWV8/ref=sr_1_4413?qid=1679135843&s=appliances&sr=1-4413,5.0,5,"₹1,480","₹1,975"
"Bajaj Splendora 1100 Watts Dry Iron, Red & Black, Regular (440314)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51ghVZy-69L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Splendora-Watts-Regular-440314/dp/B09NDC87GZ/ref=sr_1_6550?qid=1679135962&s=appliances&sr=1-6550,4.1,63,₹923.16,"₹1,300"
Karcher 6.906-622.0 Upholstery Nozzle (Black),appliances,All Appliances,https://m.media-amazon.com/images/I/51EjtR-VLJL._AC_UL320_.jpg,https://www.amazon.in/Karcher-6-906-622-0-Upholstery-Nozzle-Black/dp/B003RJM8QA/ref=sr_1_6354?qid=1679135950&s=appliances&sr=1-6354,3.9,140,₹262,₹380
"Lepose Inverter Trolley for Home Trolly, Inverter with Battery Trolly, Inverter Battery Trolly, Inverter Stand for Home, I...",appliances,All Appliances,https://m.media-amazon.com/images/I/41yRJXbyc2L._AC_UL320_.jpg,https://www.amazon.in/Lepose-Metal-Inverter-Trolly-Black/dp/B08VGS89HD/ref=sr_1_6453?qid=1679135955&s=appliances&sr=1-6453,3.8,340,"₹1,599","₹2,999"
"SHIMON POLPAT WOODEN WORKS Wooden Chakla Roti Maker Rolling Board Chapati Maker-SP1010(Regular Chakla) (10"")",appliances,All Appliances,https://m.media-amazon.com/images/I/31cMunUnVbL._AC_UL320_.jpg,https://www.amazon.in/SHIMON-Rolling-Chapati-Maker-SP1010-Regular/dp/B0BGL98DP6/ref=sr_1_7519?qid=1679136016&s=appliances&sr=1-7519,5.0,5,₹499,"₹1,599"
"Bajaj Majesty Icx-3 1400W Induction Cooktop with Pan Sensor and Voltage Pro Technology, Black, Open, 1 Burner",appliances,All Appliances,https://m.media-amazon.com/images/I/71Iv6fMwcRL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-ICX-1400-Watt-Induction/dp/B00KW115E2/ref=sr_1_4694_mod_primary_new?qid=1679135858&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-4694,3.8,778,"₹2,499","₹4,100"
"70mai Cordless Portable Car Vacuum Cleaner Swift, 5000Pa 120 Watt Suction, 24min Long Runtime, Innovative Ventilation Desi...",appliances,All Appliances,https://m.media-amazon.com/images/I/51-n7tkgdJL._AC_UL320_.jpg,https://www.amazon.in/70mai-Cordless-Portable-Innovative-Ventilation/dp/B085DYKCQR/ref=sr_1_6485?qid=1679135959&s=appliances&sr=1-6485,4.0,348,"₹3,999","₹8,999"
"Astberg ABS Fancy Grill (150mm/6"") Fancy Grill/Ceiling Grill/Ventilation Ducting Hose Cover/Air Vent Valve/Ceiling Diffuse...",appliances,All Appliances,https://m.media-amazon.com/images/I/71vegaKxhTL._AC_UL320_.jpg,https://www.amazon.in/Astberg-ABS-Fancy-Grill-150mm/dp/B09R1PYJP1/ref=sr_1_7296?qid=1679136003&s=appliances&sr=1-7296,5.0,2,₹800,"₹2,999"
"Kuber Industries Multipurpose Refrigerator Drawer Mat|Circle Design & Water Proof PVC Material|Size-48 cm x 33 cm ,Pack of...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Badlq-O6L._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Circle-Design-Refrigerator/dp/B07MBB375Z/ref=sr_1_547?qid=1679135619&s=appliances&sr=1-547,4.2,"5,618",₹172,₹599
